Occupation,Cap,Read,CI,WEI,PEI,CI_norm,WEI_norm,PEI_norm,EconomicExposure,AIPS
Payroll and Timekeeping Clerks,3.8925447525868377,0.5182809970864357,17.588096775565194,610934.8989185041,221369.02007961346,0.9999999999999999,0.07669319567432735,0.40468648111095923,0.4937932255950955,0.9961942426375092
"Bookkeeping, Accounting, and Auditing Clerks",3.4629284295950966,0.41312198912198905,15.17781160524298,5041227.3199516535,180141.53690753694,0.7942335746565928,0.6428347476912777,0.27701819275904455,0.5713621717023051,0.8173975112035137
Tax Preparers,3.5159776655343475,0.5427934940545028,15.766057496687255,258670.47685336194,206950.4453933517,0.8444522192368328,0.031677763807686374,0.3600367812254212,0.4120555880899801,0.7863874055416301
Credit Analysts,3.2504123026715233,0.4176299711596842,14.964279115346804,218980.27683098053,318670.42215391615,0.7760042722978436,0.026605802567869583,0.7059977060823961,0.5028692603160364,0.6826297317535606
"Securities, Commodities, and Financial Services Sales Agents",3.1153352932005958,0.387557738135008,13.270586602536156,1471372.8589786415,343933.0163693458,0.6314134752074932,0.18664749119894325,0.7842278553580941,0.5340962739215102,0.644853046540523
Travel Agents,3.76180935033394,0.36617680064449215,16.767742705592656,222511.02307225254,198209.7346690953,0.9299662435911688,0.027056992233662706,0.3329696043985601,0.4299976134077972,0.592316256891642
Management Analysts,2.9919377137451795,0.34064319107909485,12.913203172524197,2674493.122316816,343205.1751437095,0.6009035953907843,0.3403927315617621,0.7819739645959272,0.5744234305161579,0.5854427159965135
Compliance Officers,2.940119764164297,0.48802966101694917,12.601353309208175,1169491.4385916323,249851.37755868194,0.5742809233482934,0.14807044038135253,0.4928872042160481,0.40507952264856467,0.5812346933179754
Data Entry Keyers,3.252651168466655,0.5455859984484367,14.886593212652523,440018.65007016907,136839.03465739219,0.7693722145256751,0.054852021053771155,0.14292423605165844,0.32238282387703493,0.5721008607937195
Online Merchants,3.2698405466970386,0.3980131228764486,13.87396002370502,239286.93120728928,254916.76902050112,0.6829235593875084,0.0292007646453828,0.5085730964414765,0.40689914015812256,0.5295545920737936
Public Safety Telecommunicators,2.8457740525825637,0.5719979941256537,13.175933863457269,287821.5876782005,155948.4180815245,0.6233329559357338,0.03540294796190605,0.2020998656441001,0.2869452565139133,0.46708290310578227
Customer Service Representatives,2.874686266405497,0.30143558702375883,11.5377010944658,7836193.534182736,130453.26276948144,0.4834767659270046,1.0,0.12314954926487154,0.5355421050639587,0.46406476887699216
Search Marketing Strategists,2.993473193898208,0.4284284284284283,12.50796196504626,219062.36832947086,233371.1701963043,0.5663080895596492,0.0266162929382438,0.4418532893671198,0.34492589062167095,0.4423636660578409
