Task ID,O*NET-SOC Code,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency,Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source,Task Type,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID),expert_automation_capacity_rating_mean,expert_physical_action_requirement_mean,expert_involved_uncertainty_mean,expert_domain_expertise_requirement_mean,expert_interpersonal_communication_requirement_mean,expert_human_agency_scale_rating_mean,Occupation Employment_normalized,Occupation Mean Annual Wage_normalized,Importance_normalized,major_group_code
2587,43-4051.00,Customer Service Representatives,Review insurance policy terms to determine whether a particular loss is covered by insurance.,9215f6fc-81e2-40e1-96db-3ac70cab4091,2025-02-25,Average,1,1,1,1,1,False,False,False,False,False,False,5,5,2,5,5,True,True,True,True,True,True,True,FALSE,,Male,White,30-60K,32,"Some College, No Degree",More than 10 years,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,No political affliation,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Never,Never,Never,Never,Never,Never,Never,Never,Prolific,Supplemental,7.0,7.0,4.05,40.3,45380.0,2725930.0,['Evaluating Information to Determine Compliance with Standards'],['4.A.2.a.3'],5.0,1.0,1.5,3.5,1.0,1.0,1.0,0.0279460863113639,0.6555555555555553,43
2591,43-4051.00,Customer Service Representatives,"Recommend improvements in products, packaging, shipping, service, or billing methods and procedures to prevent future problems.",9215f6fc-81e2-40e1-96db-3ac70cab4091,2025-02-25,Average,1,5,5,5,2,False,False,False,False,False,False,5,5,5,5,5,True,True,True,True,True,True,True,FALSE,,Male,White,30-60K,32,"Some College, No Degree",More than 10 years,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,No political affliation,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Never,Never,Never,Never,Never,Never,Never,Never,Prolific,Supplemental,4.0,4.0,3.16,62.8,45380.0,2725930.0,['Providing Consultation and Advice to Others'],['4.A.4.b.6'],4.0,1.0,1.5,3.0,3.0,2.0,1.0,0.0279460863113639,0.325925925925926,43
55,11-9111.00,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",a17b322e-3134-475c-a652-89f27b3a9946,2025-01-21,Expert,2,1,4,1,3,False,False,False,False,False,False,2,2,2,5,3,False,False,True,False,True,False,True,FALSE,,Female,White,60-86K,30,"Professional Degree (e.g., MD, JD)",1-2 year,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Green Party,I use them regularly.,"Yes, I use them every week in my work.",Daily,Never,Never,Never,Weekly,Weekly,Never,Never,Monthly,Prolific,Core,3.0,3.0,4.16,89.29,137730.0,565840.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],4.0,1.5,3.0,4.5,1.5,2.0,0.2071754968710429,0.3134351428218128,0.6962962962962963,11
2578,43-4051.00,Customer Service Representatives,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",533a6bf0-9958-4892-8777-44108350b9be,2025-01-21,Average,4,1,1,1,2,False,True,False,True,False,False,1,3,2,2,1,False,False,False,False,False,False,False,,FALSE,Male,Asian American and Pacific Islander,86K-165K,28,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,Prolific,Core,7.0,7.0,4.53,82.21,45380.0,2725930.0,['Documenting/Recording Information'],['4.A.3.b.6'],4.666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,0.0279460863113639,0.8333333333333334,43
2580,43-4051.00,Customer Service Representatives,Check to ensure that appropriate changes were made to resolve customers' problems.,533a6bf0-9958-4892-8777-44108350b9be,2025-01-21,Expert,2,2,2,4,2,False,False,False,False,False,False,3,2,2,2,3,False,True,True,False,True,False,False,FALSE,,Male,Asian American and Pacific Islander,86K-165K,28,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,Prolific,Core,7.0,7.0,4.39,83.76,45380.0,2725930.0,['Performing for or Working Directly with the Public'],['4.A.4.a.8'],4.5,1.5,1.5,2.0,3.0,1.5,1.0,0.0279460863113639,0.7814814814814813,43
2581,43-4051.00,Customer Service Representatives,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,533a6bf0-9958-4892-8777-44108350b9be,2025-01-21,Expert,4,1,3,2,1,False,False,True,True,True,False,3,2,3,2,3,False,True,True,True,True,False,False,,,Male,Asian American and Pacific Islander,86K-165K,28,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,Prolific,Core,7.0,7.0,4.22,82.44,45380.0,2725930.0,['Communicating with People Outside the Organization'],['4.A.4.a.3'],4.5,1.5,2.0,2.0,3.5,1.5,1.0,0.0279460863113639,0.7185185185185182,43
2583,43-4051.00,Customer Service Representatives,"Determine charges for services requested, collect deposits or payments, or arrange for billing.",533a6bf0-9958-4892-8777-44108350b9be,2025-01-21,Average,4,1,1,4,1,False,True,True,True,False,False,3,1,2,2,1,False,False,False,False,False,False,False,,FALSE,Male,Asian American and Pacific Islander,86K-165K,28,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,Prolific,Core,5.0,5.0,4.18,67.27,45380.0,2725930.0,"['Making Decisions and Solving Problems', 'Monitoring and Controlling Resources']","['4.A.2.b.1', '4.A.4.c.3']",4.5,2.0,2.0,3.0,2.0,2.0,1.0,0.0279460863113639,0.7037037037037036,43
2584,43-4051.00,Customer Service Representatives,"Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.",533a6bf0-9958-4892-8777-44108350b9be,2025-01-21,Average,4,2,3,2,2,False,True,True,False,False,False,2,3,2,2,2,False,False,False,False,False,False,False,,FALSE,Male,Asian American and Pacific Islander,86K-165K,28,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,Prolific,Core,7.0,7.0,4.1,70.98,45380.0,2725930.0,['Documenting/Recording Information'],['4.A.3.b.6'],4.0,1.5,2.0,1.5,3.0,2.0,1.0,0.0279460863113639,0.6740740740740739,43
2582,43-4051.00,Customer Service Representatives,Refer unresolved customer grievances to designated departments for further investigation.,533a6bf0-9958-4892-8777-44108350b9be,2025-01-21,Expert,5,1,1,1,1,False,True,False,False,False,False,1,2,1,1,2,False,False,False,False,False,False,False,,FALSE,Male,Asian American and Pacific Islander,86K-165K,28,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,Prolific,Core,3.0,3.0,4.07,85.43,45380.0,2725930.0,['Assisting and Caring for Others'],['4.A.4.a.5'],3.0,2.0,2.0,2.5,3.5,2.5,1.0,0.0279460863113639,0.6629629629629631,43
2579,43-4051.00,Customer Service Representatives,"Resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",533a6bf0-9958-4892-8777-44108350b9be,2025-01-21,Expert,2,1,1,2,2,False,False,False,False,False,False,2,2,2,2,2,False,False,False,False,False,False,False,FALSE,FALSE,Male,Asian American and Pacific Islander,86K-165K,28,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,Prolific,Supplemental,6.0,6.0,4.19,63.89,45380.0,2725930.0,"['Performing for or Working Directly with the Public', 'Performing Administrative Activities']","['4.A.4.a.8', '4.A.4.c.1']",4.0,1.0,2.0,2.0,4.5,1.5,1.0,0.0279460863113639,0.7074074074074074,43
