Occupation (O*NET-SOC Title),Cap,Read,CI,WEI,PEI,CI_normalized,WEI_normalized,PEI_normalized,EE,AIPS,Cap_norm,Read_norm,Industry Group,Cap_VN,Read_VN,WFI_VN,Recommendation,Quadrant,WTRS,Transformation_Strategy,wfi
Payroll and Timekeeping Clerks,3.8925447525868377,0.5182809970864357,17.588096775565194,610934.8989185041,221369.02007961343,1.0,0.0766931956743273,0.4046864811109592,0.4937932255950955,0.9961942426375092,0.9999999999999998,0.8524071713313246,43,0.4999999999999999,0.5114443027987947,-0.0114443027987948,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.0728803389430094,Review Manually,1.8751127770125582
Travel Agents,3.76180935033394,0.3661768006444921,16.767742705592656,222511.02307225252,198209.7346690953,0.9299662435911688,0.0270569922336627,0.3329696043985601,0.4299976134077972,0.592316256891642,0.9446466300034236,0.4344856596568676,41,0.4723233150017117,0.2606913957941205,0.2116319192075912,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.2297095478598897,Review Manually,2.3843220377941226
Tax Preparers,3.5159776655343475,0.5427934940545028,15.766057496687257,258670.47685336196,206950.4453933517,0.8444522192368328,0.0316777638076863,0.3600367812254212,0.4120555880899801,0.7863874055416301,0.8405614933755443,0.919757711470566,13,0.4202807466877721,0.5518546268823395,-0.1315738801945674,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.0277925634234231,Deploy AI,1.607527863441365
Proofreaders and Copy Markers,3.4876630504302484,0.3016069520935104,15.278015727384744,17996.341340220082,183904.472649187,0.8027880163764615,0.0009223157106569,0.2886707974865649,0.3641270431912278,0.3830264829829364,0.8285730851926101,0.2570735346382329,43,0.414286542596305,0.1542441207829397,0.2600424218133653,Reskill Workforce + Human-in-the-loop,Q2: Reskill Workforce,0.2241452737793855,Reskill Workforce,2.435759627860826
"Bookkeeping, Accounting, and Auditing Clerks",3.4629284295950966,0.413121989121989,15.17781160524298,5041227.3199516535,180141.53690753694,0.7942335746565928,0.6428347476912777,0.2770181927590445,0.5713621717023051,0.8173975112035137,0.8181004466018427,0.5634722661627987,43,0.4090502233009213,0.3380833596976791,0.0709668636032421,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.2040468779558442,Review Manually,2.0323165485736845
Telemarketers,3.334845488324452,0.38741800420603,14.916441142292532,221533.78578939333,121188.28504571058,0.7719203369891697,0.0269321122981126,0.0944588857413318,0.297770445009538,0.3847132163906711,0.7638701285990033,0.4928479935692726,41,0.3819350642995016,0.2957087961415636,0.086226268157938,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1153557547689007,Review Manually,2.0428663049023092
Online Merchants,3.2698405466970386,0.3980131228764486,13.87396002370502,239286.93120728928,254916.76902050112,0.6829235593875084,0.0292007646453828,0.5085730964414765,0.4068991401581225,0.5295545920737936,0.736347035974501,0.5219591431278692,13,0.3681735179872505,0.3131754858767215,0.054998032110529,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1432301119246732,Review Manually,1.9684010993981165
Data Entry Keyers,3.252651168466655,0.5455859984484367,14.886593212652524,440018.65007016907,136839.0346573922,0.7693722145256751,0.0548520210537711,0.1429242360516584,0.3223828238770349,0.5721008607937195,0.7290690531419939,0.9274303969386216,43,0.3645345265709969,0.556458238163173,-0.191923711592176,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.0170567116187312,Deploy AI,1.4780502331143008
Credit Analysts,3.2504123026715237,0.4176299711596842,14.964279115346804,218980.27683098053,318670.4221539161,0.7760042722978436,0.0266058025678695,0.7059977060823961,0.5028692603160364,0.6826297317535606,0.7281211173526436,0.5758583982476813,13,0.3640605586763218,0.3455150389486087,0.018545519727713,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1552993319893844,Review Manually,1.8929427064497322
"Court, Municipal, and License Clerks",3.2252156150064093,0.3643601284814673,14.419401478757822,548318.9067072397,165131.03948832816,0.7294879824782906,0.0686915759972001,0.2305354980764067,0.3429050188506324,0.4029613955758349,0.7174528396636575,0.4294941709645878,43,0.3587264198318287,0.2576965025787527,0.101029917253076,Deploy AI + Human-in-the-loop,Q1: Deploy AI Now,0.1403548054587396,Review Manually,2.0500756391422397
